Unnamed: 0,QID,EID,QPA,PAA,IPA,Label
38755,VASoL_2011_5_32,a51c-ef9e-4258-374f,0.0,0.0,0.0,0
43703,TIMSS_2003_4_pg33,dcb0-11ec-8b50-ceb3,1.2,0.0,0.0,0
57384,Mercury_7084280,1dda-2bae-9eb8-0622,1.2,0.35580334099996225,0.0,0
63672,AKDE&ED_2008_4_21,ab12-89b8-f02b-6f3a,0.0,0.0,0.0,0
4432,Mercury_7218173,4e12-62f2-0830-d602,1.2,0.17893738408129434,0.0,0
40162,MEA_2016_8_14,07a1-a8a2-97ac-1866,0.0,0.0,0.0,0
34675,NYSEDREGENTS_2005_4_12,a6e0-b058-5e81-743d,2.4,0.0,0.0,0
34673,NYSEDREGENTS_2005_4_12,73e9-1e1c-3294-923c,0.9617117867474972,0.0,0.0,0
52559,Mercury_7085908,b770-254b-54ed-7b47,0.09232664865105587,0.3461633243255279,0.0,0
46209,Mercury_SC_406041,3bb7-feb2-78e2-7baf,0.0,0.0,0.0,0
62931,Mercury_SC_400660,18c0-bb11-0330-ae2c,0.0,0.0,0.0,0
6065,Mercury_7177695,2235-fd62-85a8-a8a8,0.0,0.0,0.0,0
65033,MEA_2016_8_11,1fc5-ddc7-1c8e-b374,1.4817274884331604,-0.6579545454545455,0.8999999999999999,0
24331,Mercury_SC_401233,e77b-df5f-c14c-c531,0.0,0.0,0.0,0
47866,Mercury_SC_LBS10587,3375-b363-3db7-2e3f,0.0,0.0,0.0,0
23813,Mercury_404134,960c-f46b-86af-9c81,1.2,0.0,0.0,0
16402,Mercury_7081428,9bf9-3b51-49f5-1e8c,0.44211906992149896,0.0,0.0,0
11233,Mercury_7015943,9c5e-a6ea-6e77-4f1e,2.833333333333333,0.0,0.0,0
8349,MCAS_2011_5_17,12f0-18d2-7c54-b895,1.2,-0.038225449037007135,0.8999999999999999,0
59516,Mercury_SC_400141,75de-7e0e-d204-6ec0,0.6,0.0,0.0,0
29842,VASoL_2007_3_5,075f-d7cb-993c-ade1,0.0,0.0,0.0,0
30348,CSZ30494,fb40-15de-e88b-9743,0.0,0.0,0.0,0
34790,Mercury_7158953,bcb3-8b5b-ea6d-191c,0.8700656719208992,0.0,0.0,0
56538,Mercury_407675,55de-6e39-fe84-2395,0.6,0.0,0.0,0
5808,NYSEDREGENTS_2011_8_28,a6a9-3e1b-7e02-ce06,0.6,0.0,0.0,0
62483,Mercury_SC_402078,24ab-b403-fcec-d327,0.6,0.0,0.0,0
31138,Mercury_417572,ea27-c3fc-7c64-eeb2,0.8276665426067537,0.0,0.0,0
27515,Mercury_7043925,599d-27a7-1813-5947,0.0,0.0,0.0,0
12454,Mercury_SC_405724,af1a-348d-eec7-2eb8,0.0,0.0,0.0,0
58328,NYSEDREGENTS_2006_4_7,de25-e9d6-aced-d88e,0.0,0.0,0.0,0
38858,Mercury_SC_409381,7bef-98f1-a3f7-b896,0.0,0.0,0.0,0
65681,Mercury_7081498,fbf6-d767-086f-4fe1,0.0,0.0,0.0,0
45110,Mercury_SC_407162,83cb-1e27-da4d-fe7e,0.0,0.0,0.0,0
53233,CSZ_2007_5_CSZ20560,c493-daa2-d48d-4fa4,1.2,0.0,0.0,0
53104,Mercury_7057558,4332-8160-01d0-0924,0.0,0.0,0.0,0
13423,Mercury_SC_405529,9a28-67a2-0019-9ec2,0.0,0.0,0.0,0
23635,Mercury_409817,4f86-9f32-f5ab-f744,0.0,0.0,0.0,0
8457,Mercury_SC_400520,5d70-46c8-2211-a7c6,0.0,0.0,0.0,0
41936,VASoL_2009_3_9,88f6-2447-45c5-9275,0.0,1.146339761438819,1.2,0
65819,Mercury_SC_401266,dd64-2412-f733-7659,0.0,0.0,0.0,0
30880,Mercury_417473,9427-406a-f63a-c3ee,0.0,0.0,0.0,0
26979,Mercury_SC_405129,7726-d9fd-f431-db04,0.0,0.0,0.0,0
65574,ACTAAP_2007_7_12,c760-71d8-d5c0-0ffb,0.19691304641758545,1.4249999999999998,0.6,0
6144,Mercury_7267873,1201-f310-a3c3-b88d,0.0,0.0,0.0,0
65748,Mercury_7121800,8e6a-f3f8-6993-4252,0.8918660374954194,0.0,0.0,0
46124,Mercury_SC_414245,9084-1d86-fa3b-e868,0.0,0.0,0.0,0
13707,Mercury_7217893,9470-ce58-a3b8-9f1f,0.048029762979889916,0.2393309232241985,0.0,0
586,NYSEDREGENTS_2011_4_2,017b-0043-bf46-0018,0.9230769230769228,0.0,0.0,0
28691,Mercury_7007508,b995-043c-620d-e558,0.9227643423983868,0.6,0.0,0
