Unnamed: 0,QID,EID,QPA,PAA,IPA,ISA,Label
34160.0,Mercury_SC_LBS10470,83d8-1dca-f435-c1d0,0.6,0.0,0.0,4.2,0
19125.0,Mercury_SC_415027,4301-d69c-52a8-22d7,0.0,1.2,0.9,3.6,0
37090.0,Mercury_416466,4dcf-7536-2995-3a73,0.0,0.0,0.0,0.0,0
37898.0,Mercury_SC_416460,dd66-f128-9920-883e,0.6,0.0,0.0,4.2,0
59058.0,VASoL_2009_3_30,2544-b803-8031-cad3,0.0,0.0,0.0,0.0,0
6951.0,Mercury_404608,3e73-bd8b-3ffb-d9d4,0.0,0.0,0.0,4.8,0
10131.0,Mercury_7085575,b47d-ee7e-9ebb-f9db,0.0,0.0,0.0,3.953994052,0
55885.0,NYSEDREGENTS_2004_4_28,5740-e841-3f58-fe3b,0.6,0.0,0.0,4.2,0
50958.0,Mercury_7015558,fb8f-3fcb-ff3c-770c,0.0,0.0,0.0,4.8,0
23714.0,Mercury_7083720,7499-4077-caec-1e23,0.0,0.0,0.0,0.0,0
58423.0,CSZ30771,526f-215d-1f8a-8c6f,0.0,0.0,0.0,0.0,0
11891.0,AKDE&ED_2008_4_37,9098-c80a-ed21-5447,0.6,0.0,0.0,4.2,0
14753.0,MCAS_2007_8_5168,b4bb-c6c6-582e-f158,0.0,0.0,0.0,0.0,0
35946.0,MDSA_2010_8_18,4253-4b9e-1e5f-1742,1.8,0.0,0.0,3.0,0
57521.0,TIMSS_2007_8_pg101,ad91-dd18-db73-37d6,0.0,0.0,0.0,4.8,0
38426.0,MCAS_2000_4_3,f5d1-54ee-c653-9285,0.0,0.0,0.0,0.0,0
29744.0,Mercury_7115343,f474-99cb-bbd0-140a,0.0,0.0,0.0,0.0,0
26080.0,TIMSS_2011_4_pg67,e76c-d8bc-9c51-ca6b,0.0,0.0,0.0,0.0,0
33912.0,NAEP_2000_8_S11+12,2bd0-f778-ba5a-4bbf,0.0,0.0,0.0,0.0,0
41654.0,NYSEDREGENTS_2016_4_8,1e6c-e33a-715b-5aba,0.0,0.0,0.0,0.0,0
20694.0,Mercury_SC_405303,378e-3052-e593-d80f,0.0,0.0,0.0,0.0,0
321.0,AKDE&ED_2012_8_5,dfb6-4ce2-e5ae-b00b,0.0,0.6,0.3,4.2,0
7526.0,Mercury_7085330,b0d4-928e-e799-54a6,1.8,0.0,0.0,3.0,0
49127.0,MCAS_2007_8_5167,cfea-1ba2-549b-7d10,0.0,0.0,0.0,0.0,0
4377.0,Mercury_7015750,c463-e7fe-1eeb-840d,0.6,0.0,0.0,4.2,0
50425.0,Mercury_401407,7663-f110-4072-8d48,0.0,0.0,0.0,0.0,0
28221.0,Mercury_414370,a0c7-b0f4-3d60-28cf,0.0,0.0,0.0,0.0,0
11512.0,Mercury_SC_406987,ddc4-d38f-a1dc-4e3e,0.0,0.0,0.0,3.339724363,0
24285.0,Mercury_SC_417676,8834-4691-61ef-488a,0.0,0.0,0.0,4.62381243,0
16552.0,Mercury_LBS10522,ab04-cf17-c4b3-09d4,0.0,0.0,0.0,4.8,0
47994.0,Mercury_SC_408290,a9ac-d323-5208-7945,0.0,0.35287035,0.0,4.2,0
40257.0,NYSEDREGENTS_2011_8_24,bbe2-8087-7d0d-2480,0.0,0.0,0.0,0.0,0
35057.0,Mercury_7188090,f9bc-9184-2027-f812,0.0,0.0,0.0,0.0,0
